gene	gfp_1	gfp_2	gfp_3	mep50_1	mep50_2	mep50_3	prmt5_1	prmt5_2	prmt5_3
MUM1	35.52147005314157	40.537365910735886	40.083526503736415	33.337223379871084	36.66268450109691	32.32431494372692	38.59876732094846	41.41173108698674	41.18639952196499
MURC	0.35169772329843135	0	0.5809206739671944	0.20966807157151623	0.19711120699514467	0.7247604247472403	0	0.6744581610258427	1.0460037973832377
MUS81	29.894306480366666	31.81800796012477	30.06264487780231	26.20850894643953	32.720460361194014	29.8601294995863	33.79536516545265	32.778666625855955	32.16461676953456
MUT	38.51090070117823	33.959604649748556	29.626954372326914	37.94992095444444	39.422241399028934	40.73153587079491	35.85396608923657	32.239100097035276	33.86437294028232
MUTYH	8.96829194411	9.331242719075053	5.809206739671944	9.225395149146713	7.490225865815497	9.131981351815227	12.351605542703506	12.544921795080674	12.029043669907233
MVB12A	12.485269177094313	18.05060066968617	15.249167691638853	18.450790298293427	13.994895696655272	13.770448070197565	13.380906004595465	14.298513013747865	13.8595503153279
MVB12B	13.89206007028804	14.379292058902541	14.377786680688061	12.999420437434006	12.615117247689259	14.20530432504591	9.778354387973609	9.172630989951461	12.290544619253042
MVD	72.44973099947686	70.82566194970082	74.79353677327627	25.160168588581946	27.00423535833482	26.526231545748995	41.68666870662434	40.33259802934539	34.38737483897394
MVK	54.86484483455529	50.17455101404291	51.5567098145885	30.821206521012886	35.08579484513575	34.93345247281698	37.5694668590565	34.532257844523144	35.30262816168427
MVP	104.98177040458175	110.59817189985678	109.64877721130794	107.1403845730448	113.93027764319362	113.49748251541783	107.04724803676372	99.0104580385937	97.80135505533272
MX1	0.35169772329843135	0	0.1452301684917986	0.41933614314303247	0.19711120699514467	0.43485625484834417	0.6862003079279726	0.6744581610258427	0.6537523733645235
MXD1	5.627163572774902	8.719357950611116	7.2615084245899295	3.7740252882872922	3.942224139902893	3.9137062936350975	5.661152540405774	9.577305886566966	8.106529429720092
MXD3	4.923768126178039	4.283193379247566	5.809206739671944	7.5480505765745844	10.841116384732956	10.001693861511916	5.661152540405774	8.767956093335954	7.714278005701378
MXD4	8.264896497513137	9.331242719075053	7.406738593081728	14.257428866863105	20.105343113504755	17.24929810898432	16.81190754423533	15.64742933579955	15.036304587384041
MXI1	27.080724693979214	31.81800796012477	28.900803529867922	21.176475228723138	29.763792256266846	23.482237761810584	19.04205854500124	17.535912186671908	22.358331169066705
MXRA7	52.93050735641392	52.16317651155071	56.20407520632605	52.41701789287906	57.95069485657253	49.28370888281234	47.17627117004812	52.472844927810556	50.33893274906831
MXRA8	0.17584886164921568	0.15297119211598448	0	0	0.39422241399028934	0.2899041698988961	0	0.4046748966155056	0
MYADM	96.71687390706862	100.80801560443378	95.99714137307888	134.60690194891342	135.0211767916741	139.15400155147015	124.20225573496305	133.94739077973236	129.31221945150276
MYB	0.35169772329843135	0.30594238423196896	0.2904603369835972	1.0483403578575812	1.774000862956302	0.2899041698988961	1.029300461891959	1.6186995864620224	0.6537523733645235
MYBBP1A	154.7469982513098	155.57170238195621	156.9938121396343	160.1864066806384	152.56407421424197	139.5888578063185	195.3955376824902	195.18819180087885	196.64871390804868
MYBL1	23.212049737696468	21.721909280469795	24.543898475113963	85.96390934432165	74.90225865815498	75.80994042856133	57.98392601991368	52.60773656001573	56.87645648271355
MYBL2	247.24349947879725	261.1218249419855	257.4930887359589	279.4875394048311	293.89280962976073	294.397684532329	273.6223727862791	265.06205728315615	269.73822925020244
MYBPC3	1.0550931698952941	1.0707983448118914	0.8713810109507916	1.2580084294290974	0.39422241399028934	0.8697125096966883	1.029300461891959	0.9442414254361797	0.5230018986916188
MYC	93.90329212068117	92.70054242228659	96.28760171006248	80.51253948346223	76.47914831411613	71.7512820499768	103.78779657410585	97.79643334874719	104.33887878897796
MYCBP2	80.71462749698999	90.86488811689478	84.81441839921038	101.68901471218537	93.23360090870344	103.06093239905756	104.64554695901582	101.70829068269707	106.95388828243605
MYCBPAP	0.8792443082460784	0.45891357634795343	0.4356905054753958	0	0.39422241399028934	0.14495208494944806	0	0	0
MYCL	2.813581786387451	3.824279802899612	1.3070715164261872	0.6290042147145487	2.3653344839417363	2.174281274241721	1.8870508468019247	0.9442414254361797	1.830506645420666
MYD88	17.05733957997392	16.520888748526325	19.460842577901012	25.369836660153464	27.595568979320255	28.99041698988961	16.81190754423533	18.075478715492583	20.00482262495442
MYDGF	79.13198774214706	82.60444374263162	73.77692559383368	62.481085328311835	67.21492158534433	65.51834239715052	63.301978406355474	62.050150814377524	56.222704109349024
MYEF2	109.02629422251371	106.31497852060922	101.95157828124262	101.06001049747083	99.34404832555292	102.77102822915867	112.19375034622352	115.60212879982943	111.2686539466419
MYEOV	89.15537285615235	94.38322553556242	86.84764075809557	50.11066910559238	42.57602071095125	48.41399637311565	64.67437902221141	67.58070773478943	68.25174777925626
MYEOV2	20.750165674607448	27.381843388761222	24.108207969638567	24.111828230724367	29.369569842276555	26.961087800597337	21.78685977671313	23.74092726810966	21.835329270375087
MYH10	117.46703958167608	132.0141387960946	121.99334153311082	103.57602735632902	109.19960867531015	104.3655011636026	102.5869460352319	105.8899312810573	111.2686539466419
MYH14	2.1101863397905882	1.8356543053918137	0.726150842458993	0.20966807157151623	0.7884448279805787	0.43485625484834417	1.029300461891959	1.3489163220516853	0.915253322710333
MYH15	0.5275465849476471	0.6118847684639379	0.4356905054753958	0	0.7884448279805787	0.43485625484834417	0.17155007698199315	0.13489163220516853	0.6537523733645235
MYH16	0	0.15297119211598448	0.2904603369835972	0	0.19711120699514467	0.2899041698988961	0	0	0.1307504746729047
MYH3	1.5826397548429412	0.9178271526959069	1.5975318534097847	0.8386722862860649	0.39422241399028934	0.43485625484834417	1.3724006158559452	1.0791330576413483	1.4382552214019517
MYH7B	0.17584886164921568	0	0.1452301684917986	0.20966807157151623	0	0	0	0.4046748966155056	0
MYH9	388.27428652146824	398.1840130779076	401.27095554283954	461.26975745733574	451.1875528118862	444.7129966249066	487.54531878282455	507.1925370914337	486.91476768189716
MYL12A	140.50324045772334	125.1304351508753	138.40435057268405	161.23474703849598	163.2080793919798	169.15908313600588	163.31567328685747	154.45091887491796	165.53010093589737
MYL12B	184.81715359332568	188.30753749477688	196.4964179694035	216.37744986180476	218.20210614362514	215.9786065746776	192.8222865277603	194.2439503754427	209.20075947664753
MYL5	1.7584886164921567	1.9886254975077982	1.8879921903933816	2.9353530020012273	1.5768896559611574	1.1596166795955845	1.3724006158559452	1.2140246898465168	1.9612571200935707
MYL6	314.76946235209607	330.1118325862945	327.92972045448124	305.9057164228422	317.1519320551878	301.3553846099025	274.65167324817105	278.6861121358782	299.6800879502976
MYL6B	33.938830298298626	36.56011491572029	35.43616111199886	27.047181232725595	32.52334915419887	32.03441077382802	35.510865935272584	34.93693274113865	34.91037673766556
MYLIP	17.584886164921567	15.144148019482463	17.71808055599943	16.56377765414978	14.980451731630994	13.915400155147013	14.924856697433404	14.838079542568538	11.1137903471969
